S No.,name,genre,type,episodes,rating,Anime_Archetype
1,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1,9.37,Celestara Veil
2,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,Obliviscaris Spire
3,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,Aetherial Sanctum
4,Steins;Gate,"Sci-Fi, Thriller",TV,24,9.17,Obliviscaris Spire
5,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,Aetherial Sanctum
6,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,Obliviscaris Spire
7,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,Obliviscaris Spire
8,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,
9,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,Aetherial Sanctum
10,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,Aetherial Sanctum
11,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,Celestara Veil
12,Koe no Katachi,"Drama, School, Shounen",Movie,1,9.05,Celestara Veil
13,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,Aetherial Sanctum
14,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,
15,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,Obliviscaris Spire
16,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,Obliviscaris Spire
17,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,Celestara Veil
18,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,Obliviscaris Spire
19,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1,8.84,Chronovault Nexus
20,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,
21,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,Obliviscaris Spire
22,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,Aetherial Sanctum
23,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,
24,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,Obliviscaris Spire
25,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,8.81,Obliviscaris Spire
26,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,Obliviscaris Spire
27,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,Obliviscaris Spire
28,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,Obliviscaris Spire
29,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,Obliviscaris Spire
30,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,
31,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,Celestara Veil
32,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,Celestara Veil
33,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75,Obliviscaris Spire
34,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,Obliviscaris Spire
35,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,Celestara Veil
36,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,Celestara Veil
37,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,Obliviscaris Spire
38,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,Obliviscaris Spire
39,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,Obliviscaris Spire
40,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.71,Celestara Veil
41,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,Obliviscaris Spire
42,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2,8.69,Luminarch Dominion
43,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,8.68,Obliviscaris Spire
44,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,Obliviscaris Spire
45,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68,Obliviscaris Spire
46,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,Obliviscaris Spire
47,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,Celestara Veil
48,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11,8.67,Obliviscaris Spire
49,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,Obliviscaris Spire
50,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,Obliviscaris Spire
51,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11,8.65,Obliviscaris Spire
52,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,Obliviscaris Spire
53,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,Obliviscaris Spire
54,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,Obliviscaris Spire
55,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,Obliviscaris Spire
56,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,
57,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,Celestara Veil
58,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11,8.62,Obliviscaris Spire
59,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,8.62,Obliviscaris Spire
60,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,Obliviscaris Spire
61,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,Celestara Veil
62,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,8.61,Celestara Veil
63,Yuri!!! on Ice,"Comedy, Sports",TV,12,8.61,Obliviscaris Spire
64,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,Aetherial Sanctum
65,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,Obliviscaris Spire
66,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,Aetherial Sanctum
67,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,Obliviscaris Spire
68,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,Obliviscaris Spire
69,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13,8.59,Celestara Veil
70,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,
71,Bakemono no Ko,"Adventure, Supernatural",Movie,1,8.58,Obliviscaris Spire
72,Hotaru no Haka,"Drama, Historical",Movie,1,8.58,Chronovault Nexus
73,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,8.58,Obliviscaris Spire
74,Major S5,"Comedy, Drama, Romance, Sports",TV,25,8.58,Celestara Veil
75,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,Obliviscaris Spire
76,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,
77,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,Obliviscaris Spire
78,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,Obliviscaris Spire
79,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,8.57,
